名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
276,浙江中医药大学,浙江,医药,61.7,60.5,63.18,60.16,应用型,-,-
281,河南科技大学,河南,理工,61.69,60.41,63.3,60,应用型,-,-
281,河北科技大学,河北,理工,61.69,60.32,63.33,60.16,应用型,-,-
283,河北联合大学,河北,理工,61.68,60.4,63.25,60.16,应用型,-,-
284,海南师范大学,海南,师范,61.67,60.56,63.02,60.33,应用型,-,-
284,大连大学,辽宁,综合,61.67,60.53,63.1,60.16,应用型,-,-
284,河南中医学院,河南,医药,61.67,60.14,63.09,61.81,应用型,-,-
284,云南民族大学,云南,民族,61.67,60.42,63.21,60.16,应用型,-,-
284,吉首大学,湖南,综合,61.67,60.16,63.05,61.81,应用型,-,-
284,西北政法大学,陕西,政法,61.67,60.22,63.4,60.16,专业型,-,-
290,辽宁中医药大学,辽宁,医药,61.66,60.42,63.18,60.16,应用型,-,-
290,昆明医科大学,云南,医药,61.66,60.08,63.11,61.81,应用型,-,-
290,大连交通大学,辽宁,理工,61.66,60.6,63.06,60,应用型,-,-
293,山东建筑大学,山东,理工,61.65,60.48,63.09,60.16,应用型,-,-
293,宁夏医科大学,宁夏,医药,61.65,60.5,63.07,60.16,应用型,-,-
293,青海师范大学,青海,师范,61.65,60.45,63.12,60.16,应用型,-,-
293,山西农业大学,山西,农林,61.65,60.18,63.38,60.16,应用型,-,-
293,西藏民族学院,西藏,民族,61.65,60.25,62.94,61.81,应用型,-,-
293,塔里木大学,新疆,农林,61.65,60.29,62.94,61.64,应用型,-,-
299,青岛农业大学,山东,农林,61.64,60.43,63.12,60.16,应用型,-,-
300,南昌航空大学,江西,理工,61.62,60.4,63.12,60.16,应用型,-,-
300,成都信息工程学院,四川,理工,61.62,60.14,62.96,61.81,应用型,-,-
300,鲁东大学,山东,综合,61.62,60.42,63.09,60.16,应用型,-,-
300,西北民族大学,甘肃,民族,61.62,60.33,63.18,60.16,应用型,-,-
300,内蒙古科技大学,内蒙古,综合,61.62,60.3,63.24,60,应用型,-,-
300,黑龙江八一农垦大学,黑龙江,农林,61.62,60.48,63.06,60,应用型,-,-
306,西安工业大学,陕西,理工,61.61,60.37,63.07,60.33,应用型,-,-
306,湖北中医药大学,湖北,医药,61.61,60.23,63.26,60.16,应用型,-,-
306,江苏科技大学,江苏,理工,61.61,60.44,63.04,60.16,应用型,-,-
309,西华师范大学,四川,师范,61.6,60.21,63.24,60.16,应用型,-,-
309,西安石油大学,陕西,理工,61.6,60.39,63.08,60.16,应用型,-,-
309,内蒙古工业大学,内蒙古,理工,61.6,60.21,63.29,60,应用型,-,-
309,齐鲁工业大学,山东,理工,61.6,60.42,63.09,60,应用型,-,-
313,吉林师范大学,吉林,师范,61.59,60.27,63.2,60,应用型,-,-
313,武汉轻工大学,湖北,理工,61.59,60.48,62.97,60.16,应用型,-,-
313,南京财经大学,江苏,财经,61.59,60.39,63.05,60.16,应用型,-,-
313,广西中医药大学,广西,医药,61.59,60.06,63.02,61.64,应用型,-,-
313,内蒙古医科大学,内蒙古,医药,61.59,60.02,63.05,61.64,应用型,-,-
318,吉林化工学院,吉林,理工,61.58,60.57,62.9,60,应用型,-,-
318,辽宁工业大学,辽宁,理工,61.58,60.05,63.01,61.64,应用型,-,-
318,河北经贸大学,河北,财经,61.58,60.35,63.08,60.16,应用型,-,-
318,浙江财经大学,浙江,财经,61.58,60.38,63.05,60.16,应用型,-,-
318,徐州医学院,江苏,医药,61.58,60.42,63.05,60,应用型,-,-
323,广东财经大学,广东,财经,61.57,60.27,63.09,60.33,应用型,-,-
323,云南财经大学,云南,财经,61.57,60.21,63.17,60.16,应用型,-,-
323,辽宁科技大学,辽宁,理工,61.57,60.19,63.23,60,应用型,-,-
326,集美大学,福建,综合,61.56,60.26,63.06,60.33,应用型,-,-
326,天津商业大学,天津,财经,61.56,60.33,63.05,60.16,应用型,-,-
