id,name,hot,high
1,艺术,0,0
2,音乐,0,0
3,戏剧,0,0
4,戏曲,0,0
5,电影,0,0
6,广播电视,0,0
7,舞蹈,0,0
8,美术,0,0
9,艺术设计,1,0
10,工程管理,1,0
11,军事,0,0
12,军事指挥,0,1
13,军队政治工作,0,0
14,军事后勤,0,0
15,军事装备,0,0
16,中医内科学,0,0
17,中医外科学,0,0
18,中医骨伤科学,0,0
19,中医妇科学,0,0
20,中医儿科学,0,0
21,中医五官科学,0,0
22,针灸推拿学,0,0
23,民族医学（含：藏医学、蒙医学等）,0,0
24,中西医结合临床,0,0
25,中医,0,0
26,全科医学,1,0
27,林业,0,0
28,城市规划,1,0
29,文物与博物馆,0,0
30,出版,0,0
31,应用心理,0,0
32,警务,0,0
33,审计,0,0
34,设计艺术学,0,0
35,设计学,0,0
36,图书情报与档案管理,0,0
37,图书馆学,0,0
38,情报学,0,0
39,档案学,0,0
40,联合训练学,0,0
41,军兵种训练学,0,0
42,军事教育学,0,0
43,军事训练学,0,0
44,生物医学工程,1,0
45,美术学,1,0
46,戏剧戏曲学,0,0
47,广播电视艺术学,0,0
48,戏剧与影视学,0,0
49,音乐学,1,0
50,音乐与舞蹈学,0,0
51,艺术学,0,0
52,艺术学理论,0,0
53,科学技术史,0,0
54,护理学,1,0
55,医学技术,0,0
56,特种医学,0,0
57,中药学,1,0
58,药学,1,0
59,药物化学,0,1
60,药剂学,1,0
61,生药学,0,0
62,药物分析学,0,0
63,微生物与生化药学,0,0
64,药理学,0,0
65,中西医结合,0,0
66,中西医结合基础,0,0
67,中医学,1,0
68,中医基础理论,0,0
69,中医临床基础,0,0
70,中医医史文献,0,0
71,方剂学,0,0
72,中医诊断学,0,0
73,公共卫生与预防医学,0,0
74,流行病与卫生统计学,0,0
75,劳动卫生与环境卫生学,0,0
76,营养与食品卫生学,0,0
77,儿少卫生与妇幼保健学,0,0
78,卫生毒理学,0,0
79,军事预防医学,0,0
80,口腔医学,1,0
81,口腔基础医学,0,0
82,口腔临床医学,0,0
83,临床医学,1,0
84,内科学,0,1
85,儿科学,0,0
86,老年医学,0,0
87,神经病学,0,0
88,精神病与精神卫生学,0,0
89,皮肤病与性病学,0,0
90,影像医学与核医学,0,0
91,临床检验诊断学,0,0
92,外科学,0,1
93,妇产科学,0,0
94,眼科学,0,1
95,耳鼻咽喉科学,0,0
96,肿瘤学,0,1
97,康复医学与理疗学,0,0
98,运动医学,0,0
99,基础医学,0,0
100,麻醉学,0,1
101,人体解剖与组织胚胎学,0,0
102,急诊医学,0,0
103,免疫学,0,0
104,病原生物学,0,0
105,病理学与病理生理学,0,0
106,法医学,0,0
107,放射医学,0,0
108,军事装备论证学,0,0
109,军事装备实验学,0,0
110,军事装备采购学,0,0
111,军事装备保障学,0,0
112,军事装备管理学,0,0
113,军事装备学,0,0
114,军事后勤建设学,0,0
115,军事物流学,0,0
116,军事后勤学,0,0
117,后方专业勤务,0,0
118,军队政治工作学原理,0,0
119,部队政治工作学,0,0
120,政治机关工作学,0,0
121,军事任务政治工作,0,0
122,军队政治工作学,0,0
123,军事法制学,0,0
124,军制学,0,0
125,军事组织编制学,0,0
126,军队管理学,0,0
127,军事密码学,0,0
128,非战争军事行动,0,0
129,军队指挥学,0,0
130,作战指挥学,0,0
131,作战环境学,0,0
132,军事运筹学,0,0
133,军事信息学,0,0
134,军事情报学,0,0
135,兵种战术学,0,0
136,战术学,0,0
137,联合战术学,0,0
138,合同战术学,0,0
139,战役学,0,0
140,联合战役学,0,0
141,军种战役学,0,0
142,军种战略学,0,0
143,国防动员学,0,0
144,战略学,0,0
145,国家安全战略学,0,0
146,军事战略学,0,0
147,军事思想及军事历史,0,0
148,军事思想,0,0
149,军事历史,0,0
150,公共管理,0,0
151,行政管理,1,0
152,社会医学与卫生事业管理,0,0
153,教育经济与管理,0,0
154,社会保障,0,0
155,土地资源管理,0,0
156,农林经济管理,0,0
157,农业经济管理,0,0
158,林业经济管理,0,0
159,工商管理,1,1
160,会计学,1,1
161,企业管理,1,0
162,旅游管理,1,0
163,技术经济及管理,0,0
164,管理科学与工程,1,0
165,资产评估,0,0
166,保险,1,0
167,国际商务,1,0
168,税务,1,0
169,应用统计,0,0
170,金融,0,0
171,社会工作,1,0
172,法律,1,0
173,法律（非法学）,0,0
174,法律（法学）,0,0
175,汉语国际教育,0,0
176,体育,0,0
177,体育教学,0,0
178,运动训练,1,0
179,竞赛组织,0,0
180,社会体育指导,0,0
181,职业技术教育,0,0
182,教育,0,0
183,教育管理,0,0
184,学科教学（思政）,0,0
185,学科教学（语文）,0,0
186,学科教学（数学）,0,0
187,学科教学（物理）,0,0
188,学科教学（化学）,0,0
189,学科教学（生物）,0,0
190,学科教学（英语）,0,0
191,学科教学（历史）,0,0
192,学科教学（地理）,0,0
193,学科教学（音乐）,0,0
194,学科教学（体育）,0,0
195,学科教学（美术）,0,0
196,现代教育技术,0,0
197,小学教育,1,0
198,心理健康教育,0,0
199,科学与技术教育,0,0
200,学前教育,1,0
201,特殊教育,0,0
202,学校课程与教学,0,0
203,学生发展与教育,0,0
204,教育领导与管理,0,0
205,新闻与传播,0,0
206,西班牙语笔译,0,0
207,西班牙语口译,0,0
208,阿拉伯语笔译,0,0
209,阿拉伯语口译,0,0
210,泰语笔译,0,0
211,泰语口译,0,0
212,翻译,0,0
213,英语笔译,0,0
214,英语口译,0,0
215,俄语笔译,0,0
216,俄语口译,0,0
217,日语笔译,0,0
218,日语口译,0,0
219,法语笔译,0,0
220,法语口译,0,0
221,德语笔译,0,0
222,德语口译,0,0
223,朝鲜语笔译,0,0
224,朝鲜语口译,0,0
225,安全工程,1,0
226,兵器工程,0,0
227,核能与核技术工程,0,0
228,农业工程,0,0
229,林业工程,0,0
230,环境工程,1,0
231,食品工程,0,0
232,航空工程,0,1
233,航天工程,0,0
234,车辆工程,1,0
235,制药工程,1,0
236,工业工程,1,0
237,工业设计工程,0,0
238,生物工程,1,0
239,项目管理,1,1
240,物流工程,1,0
241,电子与信息,0,0
242,先进制造,0,0
243,生物与医药,0,0
244,能源与环保,0,0
245,工程,0,0
246,机械工程,0,0
247,光学工程,0,1
248,仪器仪表工程,0,0
249,材料工程,0,0
250,冶金工程,0,0
251,动力工程,0,0
252,电气工程,0,0
253,电子与通信工程,0,0
254,集成电路工程,0,0
255,控制工程,0,0
256,计算机技术,0,0
257,软件工程,1,1
258,建筑与土木工程,0,0
259,水利工程,0,0
260,建筑学,1,0
261,测绘工程,1,0
262,化学工程,0,0
263,地质工程,0,0
264,矿业工程,0,0
265,石油与天然气工程,0,0
266,纺织工程,1,0
267,轻工技术与工程,0,0
268,交通运输工程,0,0
269,船舶与海洋工程,1,0
270,风景园林,0,0
271,兽医,0,0
272,农业,0,0
273,农艺与种业,0,0
274,资源利用与植物保护,0,0
275,畜牧,0,0
276,渔业发展,0,0
277,食品加工与安全,0,0
278,农业工程与信息技术,0,0
279,农业管理,0,0
280,农村发展,0,0
281,护理,1,0
282,公共卫生,0,1
283,图书情报,0,0
284,临床病理学,0,0
285,会计,1,0
286,风景园林学,0,0
287,世界史,0,0
