,单价,小区名字,建筑面积,总价,户型,朝向,楼层,装修
0,16314元/平米,左岸花都,140.98平米,230万,3室2厅2卫,暂无,中层,简装修
1,15944元/平米,府河音乐花园,260.92平米,416万,5室3厅4卫,西南,中层,简装修
2,13056元/平米,三和南庭,118.72平米,155万,3室2厅2卫,南,高层,简装修
3,15077元/平米,三和南庭,116.07平米,175万,3室2厅2卫,暂无,低层,简装修
4,15647元/平米,南阳盛世,79.89平米,125万,2室1厅1卫,南,高层,简装修
5,13089元/平米,黄金海岸,191平米,250万,3室2厅2卫,南,中层,毛坯
6,12209元/平米,府河音乐花园,311.25平米,380万,6室2厅3卫,南,中层,简装修
7,20891元/平米,蜀郡二期,90.95平米,190万,3室2厅2卫,西,低层,简装修
8,14148元/平米,蜀郡一期,325.14平米,460万,5室2厅4卫,南,中层,简装修
9,9736元/平米,华阳东华苑,140.72平米,137万,3室2厅2卫,暂无,高层,简装修
10,11016元/平米,府河音乐花园,167.93平米,185万,4室3厅3卫,西南,高层,毛坯
11,14940元/平米,雅居乐富春山居,666平米,995万,6室3厅6卫,东,低层,豪华装修
12,11189元/平米,雅居乐富春山居,286平米,320万,4室3厅4卫,南北,低层,精装修
13,15000元/平米,成都雅居乐花园别墅,210平米,315万,4室3厅5卫,南,低层,中装修
14,17647元/平米,成都雅居乐花园别墅,187平米,330万,4室2厅3卫,南,低层,中装修
15,16667元/平米,洛森堡新殿,114平米,190万,4室2厅2卫,南北,高层,精装修
16,15946元/平米,双华麓港,74平米,118万,2室2厅1卫,南北,中层,精装修
17,19019元/平米,建发浅水湾,673平米,1280万,6室1厅5卫,暂无,低层,毛坯
18,14348元/平米,麓山国际社区茵特拉肯,230平米,330万,4室2厅3卫,东北,高层,毛坯
19,34293元/平米,麓山国际碧影溪,417平米,1430万,5室3厅4卫,暂无,低层,简装修
20,19874元/平米,成都雅居乐花园别墅,317平米,630万,4室2厅3卫,暂无,低层,精装修
21,10801元/平米,金南园,162.02平米,175万,4室2厅2卫,南,高层,简装修
22,20553元/平米,景茂城果,104.61平米,215万,3室2厅2卫,东,高层,简装修
23,19630元/平米,麓湖生态城澜语溪岸,135平米,265万,3室2厅2卫,东,低层,毛坯
24,15405元/平米,融创Nano公馆,37平米,57万,1室1厅1卫,南北,低层,精装修
25,13612元/平米,美城悦荣府别墅,380.56平米,518万,4室3厅3卫,南,低层,毛坯
26,25862元/平米,麓山国际碧湖岸,464平米,1200万,5室3厅4卫,暂无,低层,毛坯
27,29915元/平米,麓山国际香溪堤,468平米,1400万,5室3厅4卫,暂无,低层,毛坯
28,17200元/平米,恒大名都,50平米,86万,1室1厅1卫,暂无,高层,精装修
29,25000元/平米,蔚蓝卡地亚,480平米,1200万,4室3厅4卫,南,低层,毛坯
0,18590元/平米,宏达世纪锦城,78平米,145万,2室2厅1卫,南,中层,简装修
1,15119元/平米,双华麓港,111.12平米,168万,3室2厅2卫,南,中层,简装修
2,15487元/平米,棠湖泊林城,113平米,175万,3室2厅2卫,南北,中层,精装修
3,18506元/平米,戛纳滨江,89.16平米,165万,3室2厅2卫,暂无,高层,精装修
4,16226元/平米,中海右岸,159平米,258万,4室2厅2卫,西北,低层,毛坯
5,13225元/平米,邦泰华府公馆,84.69平米,112万,3室2厅2卫,暂无,低层,精装修
6,20716元/平米,原乡,248.6平米,515万,4室2厅3卫,暂无,低层,精装修
7,19512元/平米,德商华府天骄,88.15平米,172万,4室2厅2卫,南北,高层,毛坯
8,12798元/平米,蓝山国际爵悦半岛,336平米,430万,5室2厅2卫,暂无,低层,毛坯
9,18812元/平米,美城悦荣府别墅,303平米,570万,5室3厅4卫,南,低层,毛坯
10,12022元/平米,华阳滨河花园,96.49平米,116万,2室2厅1卫,南北,高层,精装修
11,15000元/平米,融创Nano公馆,40平米,60万,1室1厅1卫,南北,中层,精装修
12,15740元/平米,蜀郡一期,241.43平米,380万,4室3厅3卫,南北,低层,毛坯
13,13717元/平米,棠湖泊林城,113平米,155万,3室2厅2卫,暂无,低层,毛坯
14,15789元/平米,融创Nano公馆,57平米,90万,1室1厅1卫,南北,低层,豪华装修
15,18085元/平米,麓山国际社区茵特拉肯,188平米,340万,3室2厅2卫,暂无,低层,精装修
16,12406元/平米,雅居乐富春山居,266平米,330万,4室3厅4卫,南北,中层,精装修
17,17312元/平米,洛森堡新殿,93平米,161万,3室2厅1卫,暂无,低层,精装修
18,22876元/平米,绿水康城别墅,153平米,350万,3室2厅2卫,暂无,低层,精装修
19,15610元/平米,融创Nano公馆,41平米,64万,1室1厅1卫,南,中层,精装修
20,16314元/平米,左岸花都,140.98平米,230万,3室2厅2卫,暂无,中层,简装修
21,15944元/平米,府河音乐花园,260.92平米,416万,5室3厅4卫,西南,中层,简装修
22,13056元/平米,三和南庭,118.72平米,155万,3室2厅2卫,南,高层,简装修
23,15077元/平米,三和南庭,116.07平米,175万,3室2厅2卫,暂无,低层,简装修
24,15647元/平米,南阳盛世,79.89平米,125万,2室1厅1卫,南,高层,简装修
25,13089元/平米,黄金海岸,191平米,250万,3室2厅2卫,南,中层,毛坯
26,12209元/平米,府河音乐花园,311.25平米,380万,6室2厅3卫,南,中层,简装修
27,20891元/平米,蜀郡二期,90.95平米,190万,3室2厅2卫,西,低层,简装修
28,14148元/平米,蜀郡一期,325.14平米,460万,5室2厅4卫,南,中层,简装修
29,9736元/平米,华阳东华苑,140.72平米,137万,3室2厅2卫,暂无,高层,简装修
0,11538元/平米,南湖国际社区二期,234平米,270万,4室2厅3卫,南,低层,毛坯
1,30288元/平米,麓湖生态城蓝花屿,416平米,1260万,5室3厅4卫,暂无,低层,毛坯
2,8987元/平米,三都汇朝外,79平米,71万,2室1厅1卫,南北,中层,毛坯
3,18590元/平米,宏达世纪锦城,78平米,145万,2室2厅1卫,南,中层,简装修
4,15119元/平米,双华麓港,111.12平米,168万,3室2厅2卫,南,中层,简装修
5,15487元/平米,棠湖泊林城,113平米,175万,3室2厅2卫,南北,中层,精装修
6,18506元/平米,戛纳滨江,89.16平米,165万,3室2厅2卫,暂无,高层,精装修
7,16226元/平米,中海右岸,159平米,258万,4室2厅2卫,西北,低层,毛坯
8,13225元/平米,邦泰华府公馆,84.69平米,112万,3室2厅2卫,暂无,低层,精装修
9,20716元/平米,原乡,248.6平米,515万,4室2厅3卫,暂无,低层,精装修
10,19512元/平米,德商华府天骄,88.15平米,172万,4室2厅2卫,南北,高层,毛坯
11,12798元/平米,蓝山国际爵悦半岛,336平米,430万,5室2厅2卫,暂无,低层,毛坯
12,18812元/平米,美城悦荣府别墅,303平米,570万,5室3厅4卫,南,低层,毛坯
13,12022元/平米,华阳滨河花园,96.49平米,116万,2室2厅1卫,南北,高层,精装修
14,15000元/平米,融创Nano公馆,40平米,60万,1室1厅1卫,南北,中层,精装修
15,15740元/平米,蜀郡一期,241.43平米,380万,4室3厅3卫,南北,低层,毛坯
16,13717元/平米,棠湖泊林城,113平米,155万,3室2厅2卫,暂无,低层,毛坯
17,15789元/平米,融创Nano公馆,57平米,90万,1室1厅1卫,南北,低层,豪华装修
18,18085元/平米,麓山国际社区茵特拉肯,188平米,340万,3室2厅2卫,暂无,低层,精装修
19,12406元/平米,雅居乐富春山居,266平米,330万,4室3厅4卫,南北,中层,精装修
20,17312元/平米,洛森堡新殿,93平米,161万,3室2厅1卫,暂无,低层,精装修
21,22876元/平米,绿水康城别墅,153平米,350万,3室2厅2卫,暂无,低层,精装修
22,15610元/平米,融创Nano公馆,41平米,64万,1室1厅1卫,南,中层,精装修
23,16314元/平米,左岸花都,140.98平米,230万,3室2厅2卫,暂无,中层,简装修
24,15944元/平米,府河音乐花园,260.92平米,416万,5室3厅4卫,西南,中层,简装修
25,13056元/平米,三和南庭,118.72平米,155万,3室2厅2卫,南,高层,简装修
26,15077元/平米,三和南庭,116.07平米,175万,3室2厅2卫,暂无,低层,简装修
27,15647元/平米,南阳盛世,79.89平米,125万,2室1厅1卫,南,高层,简装修
